x,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3,-0.003612812,-0.003627054,-0.003760188,-0.003880911,-0.004020086,-0.004081287,-0.004179264,-0.004117224,-0.004260083,-0.003767282,-0.002050236,-0.002245676,-0.00243937,-0.002646195,-0.002911731,-0.003238921,-0.003639819,-0.004043092,-0.004229639,-0.003990816,-0.003495234,-0.002820573,-0.002270355,-0.001859128,-0.001510252,-0.001135378,-0.00083472,0.002873511,0.007906698,-0.004197465
4,-0.009816374,-0.003419403,-0.003411303,-0.003477684,-0.00353569,-0.003553721,-0.003604103,-0.003675872,-0.003553514,-0.003737025,-0.003198616,-0.003323991,-0.003476493,-0.00364511,-0.003782217,-0.004075355,-0.004349136,-0.004585269,-0.004653764,-0.004329527,-0.003777952,-0.003130634,-0.002563086,-0.002113228,-0.001745176,-0.001360904,-0.001033421,-0.000892481,0.002996702,-0.008496035
5,-0.0065674,-0.003432208,-0.003509416,-0.003428979,-0.003431812,-0.003422768,-0.003435852,-0.003465511,-0.003521484,-0.004296605,-0.004469429,-0.004523804,-0.004594524,-0.004669478,-0.004726246,-0.004931852,-0.00512475,-0.005231667,-0.005187999,-0.004782101,-0.004176045,-0.003518014,-0.002930346,-0.002445692,-0.002030259,-0.001608716,-0.001262114,-0.001098817,-0.001010183,-0.012732915
6,-0.003157044,-0.001629889,-0.001654696,-0.001685527,-0.001608906,-0.001588266,-0.001571143,-0.001569394,-0.001565341,-0.001643997,-0.002432646,-0.002473203,-0.002454245,-0.00251199,-0.002504457,-0.002527022,-0.002688639,-0.002703815,-0.002755744,-0.002618152,-0.002323079,-0.001988271,-0.001668955,-0.001399763,-0.001182159,-0.000976245,-0.000751781,-0.000619415,-0.000586918,-0.000500465
7,6.97299E-06,3.41614E-05,4.05299E-05,5.2673E-05,6.85284E-05,8.59547E-05,0.000102854,0.000122068,0.000139405,8.65287E-05,3.57818E-05,2.7442E-05,1.49705E-05,2.07843E-06,-8.93818E-06,-3.17883E-05,-5.55209E-05,-7.61933E-05,-9.12008E-05,-8.91203E-05,-7.75552E-05,-6.70468E-05,-5.56448E-05,-4.81584E-05,-4.44207E-05,-3.76464E-05,-3.47708E-05,-3.81906E-05,-4.14676E-05,-1.54431E-05
8,3.87413E-05,6.47258E-05,6.94688E-05,8.22691E-05,9.72141E-05,0.000112001,0.00013032,0.000150788,0.000167347,0.000111121,4.96752E-05,4.09804E-05,2.79375E-05,1.40964E-05,3.35792E-06,-1.96998E-05,-4.13851E-05,-6.09276E-05,-7.52421E-05,-7.31469E-05,-6.29377E-05,0.000102327,0.000110166,0.000117777,0.000117517,0.00012327,0.000165852,0.000158173,0.00014773,0.000166097
9,6.47615E-05,8.6118E-05,0.00010128,0.000112428,0.000128217,0.000141396,0.000156419,0.00017845,0.000195931,0.00013631,7.15451E-05,6.22011E-05,4.8078E-05,3.28177E-05,2.06583E-05,-3.93667E-06,-2.70496E-05,-4.5362E-05,-6.01506E-05,-5.8122E-05,-4.79525E-05,0.000102746,0.00027852,0.000279445,0.000283192,0.000279979,0.000284232,0.000359876,0.000346422,0.000355363
10,8.69974E-05,0.000107036,0.000122933,0.000145122,0.000159204,0.000172794,0.000185842,0.000203693,0.000222884,0.000166569,9.79986E-05,9.12428E-05,7.56445E-05,5.81011E-05,4.36465E-05,1.59366E-05,-1.00552E-05,-3.07462E-05,-4.52043E-05,-4.39368E-05,-3.35821E-05,0.000107304,0.000265918,0.000448285,0.000442076,0.000446626,0.000437144,0.000433472,0.00054961,0.000556236
11,0.000106792,0.000127751,0.000144123,0.000167026,0.00019289,0.000204287,0.000217561,0.000233009,0.00024697,0.000198474,0.000132941,0.000123404,0.000109948,8.97775E-05,7.20314E-05,4.07264E-05,1.03949E-05,-1.39659E-05,-3.12889E-05,-2.94723E-05,-1.95006E-05,0.000112551,0.000262698,0.000425133,0.00061437,0.000605557,0.000607643,0.000585303,0.00057918,0.000762522
12,0.000116079,0.000148974,0.000165856,0.000189235,0.000215944,0.000239657,0.000250438,0.000265984,0.000277228,0.000230815,0.000171344,0.000162172,0.000145422,0.000126838,0.000105612,7.02406E-05,3.54451E-05,6.2245E-06,-1.47932E-05,-1.55207E-05,-4.51889E-06,0.000122253,0.000261917,0.000417062,0.000583454,0.000784691,0.000770038,0.000762848,0.000733111,0.000753512
13,0.000136716,0.000170607,0.000187484,0.000211497,0.00023883,0.00026338,0.000287171,0.000299991,0.000311324,0.000268364,0.000212317,0.000202447,0.000186025,0.000163652,0.000143702,0.00010457,6.52057E-05,3.13087E-05,5.67337E-06,1.61812E-06,1.02771E-05,0.000134387,0.000269529,0.000412378,0.000572637,0.000747911,0.000958794,0.000931247,0.0009202,0.000913092
14,0.000157507,0.000196038,0.000209594,0.000233764,0.000261913,0.00028721,0.000311901,0.000338622,0.000347108,0.000308096,0.000255596,0.000243893,0.000226792,0.00020491,0.000180816,0.000143341,0.0001001,6.16561E-05,3.1757E-05,2.33079E-05,2.85998E-05,0.000117647,0.000280324,0.000419353,0.000565444,0.000735725,0.000917368,0.00113166,0.001096475,0.001113595
15,0.000182297,0.000220731,0.000235631,0.000257141,0.00028559,0.000311903,0.000337458,0.000365283,0.000388695,0.000348281,0.000300446,0.000287164,0.000268154,0.000246039,0.00022254,0.000181127,0.000140009,9.78533E-05,6.38175E-05,5.11658E-05,5.17423E-05,0.000135944,0.000232331,0.000429746,0.000572819,0.000726975,0.000904737,0.001086165,0.001310231,0.001302786
16,0.00011189,0.000145396,0.00015712,0.000180412,0.000207381,0.000233517,0.000258442,0.000286931,0.000308881,0.00021897,0.000179787,0.000162735,0.000145997,0.000125432,9.95329E-05,5.27696E-05,2.16401E-05,-2.91642E-05,-5.28199E-05,-5.24746E-05,-3.8341E-05,6.34526E-05,0.000168672,0.000282112,0.000513278,0.000669316,0.00082767,0.00100339,0.001193796,0.000450588
17,1.6985E-05,6.40538E-05,7.29781E-05,9.32945E-05,0.00011941,0.000146967,0.000171874,0.000200013,0.000222833,0.000127541,3.78712E-05,2.90646E-05,7.69184E-06,-9.3464E-06,-3.3151E-05,-8.20963E-05,-0.000118074,-0.00015795,-0.000190345,-0.000179123,-0.000151665,-3.56673E-05,9.05935E-05,0.000210572,0.000325202,0.000603204,0.000764269,0.000917537,0.001103057,0.000408422
18,2.22565E-05,6.01303E-05,6.81649E-05,8.77869E-05,0.000113468,0.000136794,0.000165663,0.000194506,0.000218646,0.000118828,2.76988E-05,2.0978E-05,-3.28203E-07,-1.66318E-05,-3.97186E-05,-8.8887E-05,-0.000124447,-0.000164022,-0.000196158,-0.000184945,-0.000158076,-4.079E-05,8.32543E-05,0.000210677,0.000314558,0.000429925,0.000751107,0.000904161,0.001065424,0.000433696
19,2.8192E-05,5.84777E-05,6.5801E-05,8.46249E-05,0.000109713,0.000132434,0.000155866,0.000189873,0.000214824,0.000110922,1.7056E-05,1.23618E-05,-8.8172E-06,-2.4476E-05,-4.65682E-05,-9.58201E-05,-0.000130969,-0.000170376,-0.000202278,-0.000191029,-0.00016462,-4.77297E-05,7.97486E-05,0.000203141,0.000316985,0.000417799,0.000539428,0.000891094,0.001053072,0.000454298
20,3.26158E-05,5.76235E-05,6.4343E-05,8.23188E-05,0.000106592,0.000128538,0.000151222,0.000178172,0.000209904,0.00010313,7.26256E-06,4.64177E-06,-1.66548E-05,-3.18844E-05,-5.33363E-05,-0.000102792,-0.000137555,-0.000176779,-0.000208408,-0.000196938,-0.000170692,-5.25906E-05,7.35929E-05,0.000202785,0.000310157,0.000423602,0.000527056,0.000639283,0.001041362,0.000476648
21,3.49284E-05,5.66899E-05,6.28174E-05,7.99591E-05,0.000103305,0.000124324,0.000146006,0.000171778,0.000194762,9.62652E-05,-6.29949E-07,-1.00604E-06,-2.26768E-05,-3.79617E-05,-5.8994E-05,-0.000108953,-0.000143683,-0.000182664,-0.000213971,-0.000202017,-0.000175664,-5.72257E-05,7.18361E-05,0.000198732,0.000313791,0.000417929,0.000537352,0.000627267,0.000747802,0.000491456
22,1.12833E-05,5.5872E-05,6.1264E-05,7.76486E-05,0.000100076,0.00012017,0.000140702,0.000165063,0.000186895,8.58005E-05,-5.6896E-06,-4.27079E-06,-2.63984E-05,-4.21256E-05,-6.29591E-05,-0.00011344,-0.000148343,-0.000187326,-0.000218417,-0.000205775,-0.000179093,-5.9094E-05,6.95691E-05,0.00020095,0.000312035,0.000425487,0.000533187,0.000642447,0.000736334,0.000366543
23,1.04322E-05,5.52599E-05,6.01584E-05,7.57568E-05,9.73735E-05,0.000116658,0.000136076,0.000158981,0.000179399,8.18034E-05,-7.78845E-06,-5.42951E-06,-2.78337E-05,-4.42462E-05,-6.50807E-05,-0.000115977,-0.000151144,-0.000190094,-0.000221407,-0.0002082,-0.00018104,-6.01926E-05,7.09386E-05,0.000200972,0.00031784,0.000425233,0.00054456,0.000639569,0.000756138,0.000362263
24,1.01349E-05,5.48825E-05,5.91508E-05,7.43287E-05,9.51245E-05,0.00011373,0.000132224,0.000153852,0.000172787,7.89637E-05,-7.54247E-06,-5.2389E-06,-2.78172E-05,-4.46826E-05,-6.57335E-05,-0.000116812,-0.000152267,-0.000191157,-0.000222589,-0.000209343,-0.000181908,-8.45091E-05,7.16869E-05,0.000204999,0.000319333,0.000433721,0.000545215,0.000654381,0.000753783,0.000371604
25,1.15491E-05,5.40237E-05,5.6214E-05,7.21182E-05,9.24965E-05,0.000110366,0.000128131,0.000148795,0.00016641,7.65588E-05,-6.33537E-06,-4.61059E-06,-2.72976E-05,-4.43209E-05,-6.56061E-05,-0.000116728,-0.000152309,-0.000191157,-0.000222538,-0.000209217,-0.000181942,-8.50442E-05,2.2909E-05,0.000206804,0.00032534,0.000435913,0.000555915,0.000655506,0.000771494,0.000369412
26,1.36815E-05,5.27642E-05,5.34293E-05,6.63775E-05,8.8555E-05,0.000106052,0.000123071,0.000143069,0.000159657,7.34626E-05,-5.47293E-06,-4.13944E-06,-2.67594E-05,-4.37804E-05,-6.5192E-05,-0.000116182,-0.000151834,-0.000190542,-0.000221879,-0.000208471,-0.000181281,-8.29322E-05,2.1919E-05,0.000131386,0.00032761,0.000443472,0.000558362,0.00066819,0.000772669,0.000377445
27,1.70705E-05,5.14941E-05,5.10638E-05,6.26816E-05,8.08613E-05,0.000101143,0.000117838,0.000137206,0.00015306,7.01203E-05,-5.13356E-06,-4.07038E-06,-2.6515E-05,-4.33114E-05,-6.47047E-05,-0.000115457,-0.000151028,-0.000189633,-0.000220904,-0.000207578,-0.000180493,-8.26065E-05,2.56194E-05,0.00012922,0.000223555,0.000445936,0.000567192,0.000670685,0.00078722,0.000377533
28,2.16183E-05,5.07673E-05,4.91954E-05,5.99484E-05,7.6778E-05,9.17477E-05,0.000112406,0.000131587,0.000146715,6.68913E-05,-5.15854E-06,-4.34129E-06,-2.65702E-05,-4.31007E-05,-6.43359E-05,-0.000114793,-0.000150223,-0.000188719,-0.000219978,-0.000206812,-0.000179926,-8.11239E-05,2.49866E-05,0.000134,0.000219755,0.000311363,0.000569599,0.00068069,0.000789661,0.000384135
29,2.59951E-05,5.0324E-05,4.75076E-05,5.73137E-05,7.32876E-05,8.66815E-05,0.000100722,0.000125199,0.000140013,6.3938E-05,-5.26899E-06,-4.73806E-06,-2.67452E-05,-4.30681E-05,-6.41255E-05,-0.000114235,-0.000149562,-0.000188036,-0.000219307,-0.000206351,-0.000179648,-8.16028E-05,2.68616E-05,0.000131933,0.000225489,0.000305818,0.000402714,0.000682925,0.000800868,0.00038443
30,3.13719E-05,5.18483E-05,4.81635E-05,5.68538E-05,7.18863E-05,8.42405E-05,9.66328E-05,0.000113156,0.000134393,6.09723E-05,-4.98541E-06,-4.92052E-06,-2.67473E-05,-4.29516E-05,-6.38883E-05,-0.000113702,-0.000148967,-0.000187565,-0.000218933,-0.000206146,-0.000179578,-8.15368E-05,2.51127E-05,0.000133974,0.000221868,0.000312644,0.000395235,0.000481972,0.000802884,0.000388316
31,3.53798E-05,5.21549E-05,4.80074E-05,5.59979E-05,6.98788E-05,8.11009E-05,9.23484E-05,0.000107136,0.000118756,6.01276E-05,-3.86436E-06,-4.4956E-06,-2.62084E-05,-4.23968E-05,-6.33424E-05,-0.000112938,-0.000148235,-0.000187052,-0.000218595,-0.000205946,-0.00017939,-8.25456E-05,2.5106E-05,0.000130916,0.000224277,0.000307699,0.000403287,0.000472505,0.000566371,0.000387079
32,9.00158E-06,5.49733E-05,5.01951E-05,5.77968E-05,7.0944E-05,8.08619E-05,9.09191E-05,0.000104528,0.00011423,5.24238E-05,-1.66798E-06,-3.07262E-06,-2.47774E-05,-4.10013E-05,-6.20851E-05,-0.000111555,-0.00014694,-0.000186026,-0.000217742,-0.000205205,-0.000178575,-8.23258E-05,2.33433E-05,0.000131117,0.000220254,0.00031099,0.000397243,0.000482067,0.000555131,0.000271155
33,1.24815E-05,5.60805E-05,5.13686E-05,5.86072E-05,7.13971E-05,8.04186E-05,8.90254E-05,0.000101383,0.000109666,5.46652E-05,1.67205E-06,-4.62168E-07,-2.21799E-05,-3.85078E-05,-5.9814E-05,-0.000109248,-0.000144708,-0.000184022,-0.000215893,-0.000203416,-0.000176685,-8.1677E-05,2.3972E-05,0.000128844,0.000221056,0.000306373,0.000401721,0.000475143,0.00056657,0.00026226
