x,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4,-0.007107098,-0.007514531,-0.008037521,-0.008756869,-0.009742183,-0.010291699,-0.010867971,-0.011128733,-0.010870503,-0.009999923,-0.00870747,-0.007022139,-0.005626952,-0.004579661,-0.003771392,-0.00316619,-0.002691558,-0.002244792,-0.001885167,-0.001568338,-0.001214197,-0.001228592,-0.001176205,-0.001342487,-0.001466125,-0.00167015,-0.001965494,-0.002239177,-0.001395143,-0.000628891
5,-0.007324919,-0.007561606,-0.007919627,-0.008357107,-0.008965297,-0.009345416,-0.00972564,-0.00987748,-0.009660404,-0.008935459,-0.007856469,-0.006526836,-0.005374677,-0.004513249,-0.00384614,-0.003335266,-0.002908076,-0.002448342,-0.002113325,-0.001787144,-0.001461921,-0.001403838,-0.001372268,-0.00148682,-0.001615897,-0.00180466,-0.002099822,-0.002413653,-0.001530368,-0.000708252
6,-0.007298505,-0.007398418,-0.007603282,-0.00783219,-0.008199904,-0.008399992,-0.008641687,-0.008706788,-0.008532511,-0.007947118,-0.007090609,-0.006029215,-0.005092432,-0.004393494,-0.003857744,-0.003440871,-0.003062549,-0.002606114,-0.002294703,-0.001970376,-0.001685748,-0.001614553,-0.00155754,-0.001669551,-0.001783947,-0.001945584,-0.002221379,-0.002557467,-0.001662778,-0.000787683
7,-0.006936945,-0.006930778,-0.00701637,-0.007096856,-0.00730243,-0.007371088,-0.00752183,-0.007532597,-0.007403286,-0.006940478,-0.006283454,-0.005445937,-0.004698528,-0.004142292,-0.00372539,-0.00339949,-0.003072701,-0.002641499,-0.002355039,-0.002044763,-0.001806702,-0.00174936,-0.001709267,-0.001774445,-0.001914295,-0.00205292,-0.002297448,-0.002631405,-0.00176222,-0.000860069
8,-0.006199367,-0.006124746,-0.006133977,-0.006126975,-0.006231346,-0.006226728,-0.006326948,-0.006314081,-0.006229268,-0.005872018,-0.005377606,-0.004729565,-0.004145156,-0.003708002,-0.003394009,-0.003151487,-0.002878001,-0.002493206,-0.002235406,-0.001950028,-0.001761847,-0.001739414,-0.001735561,-0.001813842,-0.001897177,-0.002079768,-0.002290424,-0.002602871,-0.001797373,-0.000904891
9,-0.005127649,-0.005025247,-0.005000313,-0.004959264,-0.005017281,-0.004988655,-0.005071811,-0.005060135,-0.005017039,-0.004748384,-0.004381582,-0.00388445,-0.003435986,-0.003095033,-0.002863014,-0.002691335,-0.002469533,-0.002144523,-0.00192086,-0.001667937,-0.001527233,-0.001560743,-0.001607768,-0.001713138,-0.00181657,-0.001923626,-0.002185052,-0.002465165,-0.001746657,-0.000904301
10,-0.003830455,-0.00373479,-0.003710935,-0.0036755,-0.003728826,-0.003713048,-0.003803052,-0.003810587,-0.003805257,-0.003609199,-0.003339696,-0.002957954,-0.002615686,-0.002351846,-0.002181969,-0.002065153,-0.001890404,-0.001628334,-0.001442315,-0.001227212,-0.001124928,-0.001230053,-0.00134194,-0.00148361,-0.001617044,-0.001751484,-0.00188758,-0.00224529,-0.001616454,-0.000851567
11,-0.002462266,-0.002394374,-0.002394174,-0.002387478,-0.002461121,-0.002479104,-0.00258991,-0.002626685,-0.002654337,-0.002516858,-0.002320467,-0.0020248,-0.001762361,-0.001558674,-0.001434598,-0.001358716,-0.001224409,-0.001018671,-0.000870966,-0.000694015,-0.000619299,-0.000802079,-0.000985584,-0.001178843,-0.001345416,-0.001514347,-0.00166674,-0.001847821,-0.001440434,-0.000761328
12,-0.001159674,-0.001127797,-0.001161312,-0.001192489,-0.001297707,-0.001357191,-0.001494172,-0.001563637,-0.001619211,-0.001527765,-0.001385358,-0.001153019,-0.000949209,-0.000792721,-0.000702158,-0.000655348,-0.000555231,-0.000395323,-0.000281749,-0.000139988,-8.26491E-05,-0.000340259,-0.000594352,-0.000848863,-0.001064408,-0.001263312,-0.001445971,-0.001637591,-0.001102788,-0.000656353
13,-2.12716E-05,-2.56895E-05,-9.43572E-05,-0.000163129,-0.000301852,-0.000401588,-0.000565037,-0.000665355,-0.00074417,-0.000687669,-0.000584331,-0.000397242,-0.000235758,-0.000116491,-5.12189E-05,-2.55032E-05,4.84932E-05,0.000173304,0.000257549,0.000371479,0.000418574,9.8572E-05,-0.000219815,-0.000537553,-0.000812404,-0.001057067,-0.001266285,-0.001484403,-0.00096783,-0.000388229
