x,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
5,-0.004716103,-0.004814538,-0.004918762,-0.005033659,-0.005176178,-0.005361312,-0.005580092,-0.005829292,-0.006142166,-0.006467177,-0.006848777,-0.007370648,-0.007798857,-0.008045078,-0.007965767,-0.007318403,-0.006293942,-0.005201446,-0.004164765,-0.003412229,-0.002967179,-0.002405385,-0.002033043,-0.001774107,-0.00156516,-0.001375845,-0.001151688,-0.006194784,-0.010074251,-0.013065019
6,-0.00361423,-0.003687221,-0.003762643,-0.003838548,-0.003926249,-0.004049353,-0.004215446,-0.004409997,-0.004613457,-0.004871759,-0.005159874,-0.005520632,-0.005930464,-0.006295222,-0.006407411,-0.006067758,-0.005326801,-0.004386681,-0.003479285,-0.002794313,-0.002380314,-0.001764923,-0.001392539,-0.001086383,-0.000858167,-0.000647752,-0.000406156,-0.000525412,-0.005923568,-0.010086506
7,-0.002452349,-0.00250287,-0.002551392,-0.002595997,-0.002642292,-0.002705626,-0.00280551,-0.002942744,-0.003088633,-0.003229287,-0.003447941,-0.003708878,-0.003948067,-0.004293955,-0.004536634,-0.00440755,-0.003999323,-0.003363584,-0.002618801,-0.002069556,-0.00172527,-0.001154058,-0.00066363,-0.000403821,-0.000126183,0.000103023,0.000364551,0.000162759,1.55314E-05,-0.00575729
8,-0.001234343,-0.001262752,-0.001287547,-0.001303292,-0.001316513,-0.001335034,-0.001371533,-0.001437547,-0.001522969,-0.001602217,-0.001696545,-0.001883716,-0.002017764,-0.002181672,-0.002405844,-0.002418757,-0.002236617,-0.001955983,-0.001535334,-0.001157905,-0.000956747,-0.00048068,-3.64294E-05,0.000408671,0.000591397,0.000872111,0.001151782,0.000863307,0.000629161,0.000447889
9,7.37038E-05,3.3242E-05,3.17986E-05,4.13949E-05,5.86713E-05,7.58094E-05,8.66047E-05,8.84366E-05,7.83804E-05,6.35632E-05,3.34972E-05,-2.138E-05,-7.78097E-05,-0.000129979,-0.000161129,-0.000155747,-0.000125504,-8.54707E-05,-4.24114E-05,-8.94867E-06,1.03628E-05,0.000305664,0.000647577,0.001043569,0.00148092,0.00161752,0.001950875,0.001577932,0.001253919,0.000981988
10,8.684E-05,4.80852E-05,4.73343E-05,5.9412E-05,7.76137E-05,9.368E-05,0.00010531,0.00010823,9.53939E-05,7.90188E-05,4.68366E-05,-1.0506E-05,-6.84035E-05,-0.000121663,-0.000152719,-0.000147178,-0.000115307,-7.38294E-05,-3.02276E-05,2.8216E-06,2.25229E-05,0.002944954,0.003320637,0.00377287,0.004288649,0.004849081,0.004553423,0.004112812,0.003717809,0.003382134
11,9.94213E-05,6.21954E-05,6.31534E-05,7.59726E-05,9.67984E-05,0.000113831,0.00012433,0.000128163,0.000116506,9.71785E-05,6.33436E-05,3.76301E-06,-5.67603E-05,-0.000111582,-0.000143825,-0.000138233,-0.000106219,-6.30321E-05,-1.79012E-05,1.57323E-05,3.50082E-05,0.002650824,0.005787196,0.006250372,0.00680784,0.007446176,0.008138729,0.006572035,0.006099759,0.005678265
12,0.000111967,7.56708E-05,7.81781E-05,9.28172E-05,0.00011442,0.000134232,0.000145765,0.000148416,0.000137749,0.000119679,8.27081E-05,2.13773E-05,-4.15301E-05,-9.91452E-05,-0.000133073,-0.000128775,-9.67284E-05,-5.34039E-05,-6.46227E-06,2.88011E-05,4.87057E-05,0.002415906,0.005204469,0.008573072,0.009119612,0.009786051,0.010556787,0.010346323,0.008459575,0.007951398
13,0.000124761,8.90879E-05,9.25259E-05,0.000108817,0.000132349,0.000152981,0.000167475,0.000171245,0.000159336,0.000142323,0.000106685,4.20207E-05,-2.27573E-05,-8.2915E-05,-0.000119833,-0.000117351,-8.66946E-05,-4.33428E-05,3.74215E-06,4.09336E-05,6.25758E-05,0.002223986,0.004731785,0.007710755,0.011318994,0.011953233,0.012739132,0.012643971,0.012468313,0.010269287
14,0.000137945,0.000102759,0.000106803,0.000124088,0.000149374,0.000172062,0.000187439,0.000194371,0.000183667,0.000165337,0.000130814,6.75637E-05,-7.69665E-07,-6.29259E-05,-0.000102568,-0.000103284,-7.45702E-05,-3.27006E-05,1.4413E-05,5.17617E-05,7.54573E-05,0.00207118,0.004349336,0.007014739,0.010190638,0.014055097,0.014788143,0.014761389,0.014703994,0.014556222
15,0.000151404,0.000116862,0.000121356,0.000139291,0.000165634,0.000190205,0.000207792,0.000215664,0.000208346,0.000191293,0.000155349,9.32785E-05,2.64311E-05,-3.95181E-05,-8.13086E-05,-8.49386E-05,-5.96333E-05,-1.9831E-05,2.57091E-05,6.30942E-05,8.69628E-05,0.001946129,0.004042488,0.006453869,0.009282696,0.01267112,0.01681613,0.01680488,0.016812868,0.016788253
16,0.000135688,0.000100894,0.000104601,0.000121917,0.00014745,0.000170764,0.000186179,0.000191488,0.000183096,0.000162123,0.000124717,6.43392E-05,-3.86813E-06,-7.15562E-05,-0.000108882,-0.000110002,-8.12921E-05,-3.75016E-05,1.04497E-05,4.9673E-05,7.34866E-05,0.002084497,0.003770488,0.005978986,0.008526984,0.011535152,0.015158147,0.010804343,0.010612708,0.010393012
17,0.000118569,8.42256E-05,8.76115E-05,0.000104094,0.000128978,0.000151451,0.000165563,0.000168551,0.000157457,0.000135332,9.37493E-05,3.18164E-05,-3.4598E-05,-0.000103746,-0.000142933,-0.000139311,-0.000107932,-6.05166E-05,-8.31901E-06,3.34748E-05,5.92478E-05,0.001904692,0.004081578,0.005607727,0.00793523,0.0106365,0.013843851,0.009844177,0.005108075,0.004738823
18,0.000147614,6.60287E-05,6.98674E-05,8.60112E-05,0.000110016,0.000131817,0.00014507,0.000146659,0.000133115,0.000108101,6.52901E-05,-1.08718E-06,-6.91616E-05,-0.000136416,-0.000177162,-0.000175518,-0.000139094,-8.88325E-05,-3.27723E-05,1.35429E-05,4.20546E-05,0.001755152,0.003756122,0.00611658,0.007482343,0.009944563,0.012817759,0.009110745,0.004805717,-0.000329973
19,0.000135225,9.70542E-05,5.04801E-05,6.71079E-05,9.07583E-05,0.000111651,0.000124235,0.000124889,0.000109875,8.22263E-05,3.6332E-05,-3.13512E-05,-0.000104162,-0.00017319,-0.000211924,-0.000211936,-0.000177606,-0.000121968,-6.28693E-05,-1.24376E-05,2.08854E-05,0.0016244,0.003477676,0.005651486,0.008204372,0.009415876,0.012030468,0.008580489,0.004627071,-1.00387E-06
20,0.000135323,9.72014E-05,5.05245E-05,6.71069E-05,9.07065E-05,0.000111585,0.000124219,0.000124886,0.000109924,8.22976E-05,3.64004E-05,-3.12795E-05,-0.000104098,-0.000173143,-0.000211894,-0.000211927,-0.000177611,-0.000121978,-6.28789E-05,-1.2443E-05,2.0885E-05,0.001534255,0.003257051,0.005264895,0.007619887,0.010383752,0.011450246,0.008226983,0.004574287,0.000356
21,0.00013549,9.74087E-05,5.06179E-05,6.71547E-05,9.07035E-05,0.000111574,0.00012426,0.000124941,0.000110015,8.24008E-05,3.64908E-05,-3.11983E-05,-0.000104033,-0.000173098,-0.000211873,-0.000211923,-0.00017762,-0.000121989,-6.28863E-05,-1.24452E-05,2.08884E-05,0.001463676,0.00307847,0.004937136,0.007109367,0.009663392,0.012662057,0.007993649,0.004595472,0.000720633
