x,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
6,-0.054172608,-0.052591804,-0.052910061,-0.050577708,-0.050072903,-0.050083858,-0.050209796,-0.049897113,-0.05001002,-0.047934428,-0.046339917,-0.043704729,-0.041358306,-0.037832842,-0.035151786,-0.032385055,-0.029642404,-0.026851596,-0.024269393,-0.021922357,-0.01978011,-0.017556694,-0.015464774,-0.013583906,-0.011750261,-0.009909655,-0.009698338,-0.010003183,-0.011137827,-0.01352938
7,-0.032416407,-0.031364008,-0.031413878,-0.029872463,-0.029717856,-0.029844644,-0.030127089,-0.030090436,-0.030327772,-0.029110469,-0.028161229,-0.026557806,-0.02513459,-0.023002671,-0.021399229,-0.01973615,-0.018080861,-0.016350653,-0.014775831,-0.013331921,-0.012018695,-0.010525487,-0.009145728,-0.007857584,-0.006576663,-0.005269411,-0.005241686,-0.005529249,-0.006305454,-0.007898697
8,-0.020506345,-0.019705907,-0.019714147,-0.018553006,-0.018539189,-0.018723717,-0.019072078,-0.019179242,-0.019518067,-0.018752694,-0.018188816,-0.017148209,-0.016257333,-0.014848741,-0.013844381,-0.012792248,-0.011733606,-0.010599366,-0.00957013,-0.008627194,-0.007767202,-0.006683572,-0.00564214,-0.004724731,-0.003757662,-0.002761565,-0.002806338,-0.003085641,-0.003665316,-0.00472215
9,-0.013143903,-0.012507049,-0.012516848,-0.011613899,-0.01167803,-0.011903307,-0.012275842,-0.012461605,-0.012851764,-0.012360856,-0.012041738,-0.011346194,-0.010785366,-0.009816917,-0.009173633,-0.008490962,-0.007797568,-0.007028249,-0.006335307,-0.005698291,-0.005115704,-0.004280564,-0.003466107,-0.002685359,-0.001979307,-0.001178074,-0.001265097,-0.001518735,-0.001997687,-0.002767602
10,-0.00865875,-0.008153691,-0.008166729,-0.007461491,-0.007597091,-0.007855642,-0.008236717,-0.008460401,-0.008859851,-0.008540633,-0.008364205,-0.007879822,-0.007512457,-0.006811148,-0.006376863,-0.005903837,-0.005416809,-0.004861599,-0.004360775,-0.003900504,-0.003476503,-0.002777743,-0.002091202,-0.001421436,-0.000740347,-0.000147663,-0.00025212,-0.000483247,-0.000876393,-0.001488646
11,-0.005623635,-0.005210558,-0.005229335,-0.004681611,-0.004887512,-0.00518879,-0.005579998,-0.005829135,-0.006225941,-0.006022928,-0.0059409,-0.005600481,-0.005359865,-0.004835995,-0.004533708,-0.004193666,-0.003834887,-0.003414861,-0.003035367,-0.002685338,-0.002360694,-0.001744886,-0.001130546,-0.000526448,8.97407E-05,0.000726042,0.000493367,0.00028135,-5.45444E-05,-0.000548219
12,-0.003233496,-0.00287007,-0.002880097,-0.002464405,-0.002752259,-0.00310526,-0.003528512,-0.003805213,-0.004206996,-0.004088691,-0.004077519,-0.00384625,-0.003704124,-0.003311711,-0.003105181,-0.002862511,-0.002598192,-0.002274198,-0.001982234,-0.001711504,-0.001458424,-0.0008925,-0.000327753,0.000236735,0.00081104,0.001404271,0.001266076,0.000963814,0.000665843,0.000248223
13,-0.001403495,-0.001057442,-0.001032513,-0.000710754,-0.001092676,-0.00150536,-0.001977977,-0.002292005,-0.002709981,-0.002647004,-0.002681362,-0.002528402,-0.002457921,-0.002163093,-0.002021344,-0.001844087,-0.00164427,-0.00138569,-0.001152096,-0.000934283,-0.000728757,-0.000191383,0.000350682,0.000891598,0.001447243,0.002015951,0.001868883,0.001657136,0.001297744,0.00093124
14,5.98445E-05,0.000426665,0.000525683,0.000774861,0.000283427,-0.000216452,-0.000737129,-0.001115992,-0.00155715,-0.001530088,-0.001590248,-0.00149701,-0.001479826,-0.001262725,-0.001169236,-0.001037743,-0.000883561,-0.00067208,-0.000479917,-0.000299526,-0.000126185,0.000398257,0.000929118,0.001466147,0.002013114,0.002575084,0.002420491,0.002209223,0.001932331,0.001527056
15,0.00120288,0.001661833,0.001886095,0.002090276,0.001452457,0.000815456,0.000245735,-0.000218231,-0.000691213,-0.00067577,-0.000747139,-0.000696822,-0.000721309,-0.000566076,-0.000510068,-0.000414163,-0.000292816,-0.000115739,4.67502E-05,0.000200454,0.00035077,0.000882716,0.00141341,0.001954226,0.00250949,0.003071423,0.002907521,0.002694846,0.002423987,0.002091035
16,0.002067557,0.002687901,0.003105879,0.003327178,0.002535798,0.00169311,0.001040686,0.000474201,-3.89707E-05,-2.07298E-05,-8.63134E-05,-6.56064E-05,-0.000123432,-2.09603E-05,3.61971E-07,6.50872E-05,0.000156819,0.000306547,0.000445284,0.000578081,0.000711318,0.001258337,0.001805098,0.002357836,0.002926194,0.00350217,0.003332764,0.003114323,0.002845378,0.002521805
17,0.00254607,0.003362598,0.004024495,0.004367447,0.003477374,0.002402929,0.001611147,0.000900722,0.000343265,0.000379024,0.000332089,0.000350546,0.000273075,0.00033845,0.000329669,0.000367625,0.000435661,0.000563011,0.00068482,0.000803591,0.000925277,0.001531129,0.002062458,0.002643205,0.003232725,0.003828276,0.003647961,0.003426268,0.003153175,0.002833763
18,0.00266439,0.003690029,0.004590065,0.005159717,0.004294041,0.003030869,0.00207679,0.001161108,0.000518598,0.000579673,0.000559977,0.000595766,0.000520322,0.000567172,0.000528557,0.000541816,0.000586584,0.000694614,0.000800397,0.000907346,0.001021167,0.001643263,0.002280044,0.002811142,0.003435865,0.00405524,0.003865909,0.003633418,0.003356896,0.003033086
