x,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
7,-0.000156497,-0.000128547,-0.00012014,-0.000109014,-8.88551E-05,-9.42319E-05,-9.41929E-05,-0.000115044,-0.000133642,-0.000159346,-0.000187484,-0.000184086,-0.000181571,-0.000193179,-0.000167494,-0.000146902,-0.000148694,-0.000110886,-9.7709E-05,-7.64529E-05,-4.62674E-05,-3.35281E-05,-2.41092E-05,-2.10627E-05,-2.32636E-05,-2.02284E-05,-1.57621E-05,-1.31664E-05,-7.94365E-06,-7.36874E-06
8,-0.00012487,-0.000100775,-9.4775E-05,-8.50841E-05,-6.09036E-05,-7.3303E-05,-7.31605E-05,-7.0318E-05,-0.000104925,-0.000128412,-0.000142621,-0.000147859,-0.000158117,-0.000155476,-0.000148216,-0.000125911,-0.00012424,-9.76725E-05,-8.57986E-05,-7.09474E-05,-4.32548E-05,-2.89305E-05,-1.93234E-05,-1.7954E-05,-1.84136E-05,-1.82452E-05,-1.4067E-05,-1.19683E-05,-6.42763E-06,-5.46805E-06
9,-9.49371E-05,-6.70126E-05,-6.51324E-05,-5.80079E-05,-3.53929E-05,-4.34944E-05,-5.08414E-05,-4.78907E-05,-5.72496E-05,-9.77741E-05,-0.000109625,-0.00010011,-0.000119539,-0.000130508,-0.000108122,-0.000105406,-0.000101919,-7.168E-05,-7.1753E-05,-5.82904E-05,-3.74014E-05,-2.57934E-05,-1.40459E-05,-1.28965E-05,-1.51401E-05,-1.30692E-05,-1.19292E-05,-1.01326E-05,-5.11433E-06,-3.81368E-06
10,-5.85913E-05,-3.51266E-05,-2.91589E-05,-2.64218E-05,-6.57484E-06,-1.63412E-05,-1.90968E-05,-2.41304E-05,-3.33967E-05,-4.69921E-05,-7.69848E-05,-6.50413E-05,-6.87382E-05,-8.94749E-05,-8.15932E-05,-6.27914E-05,-8.01209E-05,-4.79678E-05,-4.41394E-05,-4.33708E-05,-2.3959E-05,-1.96351E-05,-1.07791E-05,-6.89913E-06,-9.79455E-06,-9.56928E-06,-6.40815E-06,-7.8314E-06,-3.12939E-06,-2.37918E-06
11,-1.19805E-05,3.52974E-06,4.75529E-06,1.18566E-05,2.70006E-05,1.42936E-05,9.77299E-06,9.63017E-06,-8.15585E-06,-2.16275E-05,-2.29564E-05,-3.03909E-05,-3.14682E-05,-3.54858E-05,-3.80203E-05,-3.4622E-05,-3.48532E-05,-2.48312E-05,-1.89606E-05,-1.4054E-05,-8.12396E-06,-5.41845E-06,-4.30173E-06,-3.49661E-06,-3.03465E-06,-3.87451E-06,-2.66905E-06,-1.94556E-06,-6.55132E-07,-2.36926E-07
12,-7.5554E-06,1.43785E-05,1.10679E-05,1.76966E-05,3.53147E-05,2.12321E-05,1.4603E-05,1.87941E-05,-3.05626E-06,-1.54592E-05,-1.47129E-05,-2.55316E-05,-2.62841E-05,-3.30444E-05,-3.65853E-05,-3.26593E-05,-3.25186E-05,-2.33456E-05,-1.65237E-05,-1.30451E-05,-7.22332E-06,-4.77343E-06,-3.65892E-06,-2.86783E-06,-2.4361E-06,-1.4403E-06,-2.29559E-06,-1.52114E-06,-1.71142E-07,3.17017E-07
13,-2.97224E-06,1.90541E-05,2.25832E-05,2.43961E-05,4.15006E-05,3.00526E-05,2.19729E-05,2.39182E-05,6.67394E-06,-1.00372E-05,-8.15926E-06,-1.67903E-05,-2.11245E-05,-2.75401E-05,-3.39986E-05,-3.11393E-05,-3.0436E-05,-2.08739E-05,-1.49495E-05,-1.04618E-05,-6.15623E-06,-3.91582E-06,-3.08218E-06,-2.30305E-06,-1.89747E-06,-8.23075E-07,4.38408E-07,-1.14161E-06,2.61849E-07,8.12873E-07
14,3.79855E-06,2.38993E-05,2.75472E-05,3.66269E-05,4.86044E-05,3.66196E-05,3.1346E-05,3.17414E-05,1.21211E-05,2.99714E-07,-2.39734E-06,-9.83845E-06,-1.18452E-05,-2.20609E-05,-2.81621E-05,-2.83977E-05,-2.88235E-05,-1.86699E-05,-1.23296E-05,-8.79349E-06,-3.41904E-06,-2.87292E-06,-2.2705E-06,-1.79797E-06,-1.41527E-06,-2.69884E-07,1.0755E-06,1.9101E-06,6.47742E-07,1.25512E-06
15,1.00437E-05,3.10739E-05,3.26975E-05,4.19061E-05,6.15926E-05,4.41688E-05,3.83326E-05,4.16966E-05,2.04379E-05,6.09401E-06,8.58262E-06,-3.72269E-06,-4.4614E-06,-1.22071E-05,-2.23491E-05,-2.22071E-05,-2.59152E-05,-1.69641E-05,-9.99323E-06,-6.01513E-06,-1.65169E-06,-4.95783E-08,-1.25323E-06,-1.03399E-06,-9.85862E-07,2.23294E-07,1.64422E-06,2.56856E-06,4.0361E-06,1.64799E-06
16,6.54217E-06,2.77849E-05,2.89147E-05,3.91789E-05,5.87952E-05,3.73538E-05,3.43556E-05,3.80134E-05,1.52093E-05,1.72587E-06,5.53614E-06,-9.47606E-06,-7.66956E-06,-1.60698E-05,-2.75E-05,-2.52447E-05,-2.91521E-05,-1.84845E-05,-1.08864E-05,-7.2383E-06,-3.10722E-06,-1.04829E-06,-2.94057E-06,-1.9439E-06,-1.97304E-06,-6.45354E-07,7.30913E-07,1.61427E-06,3.04611E-06,3.58067E-06
