x,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
9,0.076513865,0.077813283,0.077039006,0.072932745,0.068117453,0.06235537,0.056046861,0.050342592,0.047402733,0.049513905,0.049320463,0.046630764,0.043900877,0.041136785,0.039139261,0.038069416,0.038046471,0.03922742,0.041597658,0.04472922,0.048278124,0.051673853,0.054541389,0.051643553,0.046762365,0.039915238,0.031301171,0.02114287,0.009729794,-0.002610819
10,0.064830574,0.064938814,0.066050296,0.063557329,0.060079241,0.055636348,0.050404691,0.044854336,0.040271438,0.038549702,0.038176647,0.037022177,0.035727588,0.03447178,0.033630484,0.033342082,0.033789696,0.034936585,0.036864417,0.039466558,0.042331991,0.044664842,0.047744475,0.045453326,0.041506697,0.035747661,0.028166495,0.018888805,0.008143118,-0.003759618
11,0.05399978,0.054317285,0.054521618,0.053928249,0.051413366,0.048017391,0.04373894,0.038825337,0.033773636,0.029943618,0.029695635,0.029483344,0.029096697,0.028809809,0.028746602,0.029017007,0.029811137,0.030949619,0.032535954,0.034674254,0.03697093,0.038882778,0.040446821,0.039749524,0.036568951,0.031842411,0.025406658,0.017202474,0.007294344,-0.00407706
12,0.04494594,0.04529297,0.045576636,0.044670381,0.043464117,0.040869143,0.037424492,0.033193978,0.02839912,0.023810148,0.023584757,0.023867465,0.0239732,0.024239056,0.024625975,0.025225369,0.026224927,0.027350963,0.028679237,0.030455796,0.032279529,0.033855483,0.035112415,0.033517236,0.031991549,0.028131359,0.022796613,0.015805742,0.006961889,-0.003656996
13,0.03794985,0.038242054,0.03848949,0.037831493,0.036387024,0.034861108,0.032109042,0.028567087,0.024245463,0.019746404,0.019505114,0.019976747,0.020279052,0.020781961,0.021367414,0.022105985,0.023177016,0.024265072,0.025401153,0.026902094,0.028369092,0.029678299,0.030702385,0.029159605,0.026939126,0.024702221,0.020304549,0.01449364,0.006887887,-0.002695177
14,0.033033812,0.03324266,0.033410857,0.032785207,0.031557636,0.029941767,0.0280878,0.025179491,0.021461724,0.017338569,0.017073871,0.017545543,0.017867193,0.018403519,0.019017813,0.019764982,0.02081296,0.021835498,0.022830132,0.024124774,0.025337939,0.026463259,0.027322111,0.025714109,0.023635072,0.020923197,0.018049543,0.013251658,0.006879628,-0.001437371
15,0.029802335,0.029931827,0.030016968,0.029306604,0.028156763,0.02677156,0.024954233,0.022833292,0.019746534,0.016177081,0.015879463,0.01626547,0.016521983,0.016990931,0.017548875,0.018237737,0.019213884,0.02016479,0.021060633,0.022204035,0.023247965,0.024257932,0.025030269,0.023276194,0.021201543,0.018698503,0.015595926,0.012181291,0.006894169,-0.00011791
16,0.027891667,0.027962056,0.027979187,0.027098074,0.025945853,0.024663559,0.023089283,0.021134497,0.018783121,0.015824201,0.015519396,0.015804896,0.015979068,0.016351557,0.016830537,0.017445931,0.018341022,0.019229676,0.020067809,0.021106977,0.022045237,0.022993119,0.023739143,0.021798268,0.019630327,0.017182939,0.014341859,0.010959114,0.006911879,0.00107309
17,0.026974597,0.027007944,0.026977791,0.025910089,0.024678301,0.023422092,0.021964582,0.020282004,0.018244688,0.015932431,0.015656351,0.015862025,0.015975211,0.016268331,0.016683102,0.017243092,0.018075066,0.018920645,0.019733649,0.020712361,0.021592601,0.022518385,0.023278298,0.02113518,0.01881381,0.016307626,0.013558862,0.010463913,0.006738023,0.002023019
18,0.026803294,0.026819792,0.026760127,0.025486739,0.024149811,0.022837171,0.021416487,0.019872418,0.018155741,0.016243134,0.016033261,0.016194347,0.016277075,0.01652637,0.016908732,0.017443723,0.018242665,0.019066954,0.019876793,0.020829551,0.021688488,0.022628218,0.023425375,0.021088463,0.018581369,0.015937582,0.013149181,0.010156794,0.00675893,0.002644354
